path,model_name,label
./fake/en/parler_tts_mini_v1/wives_and_daughters_32_f000133.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/jane_eyre_24_f000019.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/jane_eyre_17_f000056.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/dorothy_and_wizard_oz_03_f000022.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/pink_fairy_book_09_f000016.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/jane_eyre_03_f000157.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/northandsouth_33_f000065.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/wives_and_daughters_43_f000090.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/jane_eyre_33_f000277.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/the_master_key_10_f000060.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/midnight_passenger_06_f000127.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/wives_and_daughters_58_f000117.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/wives_and_daughters_28_f000112.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/emerald_city_of_oz_17_f000055.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/northandsouth_31_f000130.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/northandsouth_03_f000056.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/northandsouth_06_f000081.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/jane_eyre_30_f000075.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/wives_and_daughters_26_f000375.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/piratesofersatz_02_leinster_64kb_f000200.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/skyisland_05_baum_64kb_f000096.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/silent_bullet_11_f000227.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/silent_bullet_03_f000095.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/silent_bullet_02_f000230.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/wives_and_daughters_09_f000029.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/midnight_passenger_05_f000058.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/the_sea_fairies_01_f000086.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/the_master_key_11_f000025.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/jane_eyre_01_f000021.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/northandsouth_44_f000127.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/northandsouth_32_f000036.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/northandsouth_33_f000101.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/piratesofersatz_06_leinster_64kb_f000143.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/wives_and_daughters_51_f000136.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/pink_fairy_book_12_f000251.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/northandsouth_11_f000136.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/wives_and_daughters_41_f000230.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/northandsouth_23_f000133.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/piratesofersatz_08_leinster_64kb_f000069.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/wives_and_daughters_18_f000025.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/the_sea_fairies_14_f000129.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/jane_eyre_18_f000209.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/ozma_of_oz_17_f000053.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/wives_and_daughters_37_f000050.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/jane_eyre_23_f000194.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/jane_eyre_06_f000124.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/silent_bullet_11_f000210.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/wives_and_daughters_17_f000019.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/wives_and_daughters_48_f000120.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/skyisland_07_baum_64kb_f000074.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/hunters_space_11_f000018.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/poisoned_pen_06_f000225.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/piratesofersatz_09_leinster_64kb_f000164.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/wives_and_daughters_15_f000122.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/northandsouth_15_f000102.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/jane_eyre_17_f000079.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/midnight_passenger_11_f000044.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/the_sea_fairies_06_f000150.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/jane_eyre_36_f000135.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/northandsouth_41_f000186.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/hunters_space_10_f000088.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/northandsouth_24_f000043.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/midnight_passenger_02_f000042.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/jane_eyre_12_f000094.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/jane_eyre_31_f000059.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/northandsouth_38_f000241.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/ozma_of_oz_16_f000075.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/hunters_space_03_f000070.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/wives_and_daughters_39_f000096.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/piratesofersatz_12_leinster_64kb_f000208.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/jane_eyre_04_f000269.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/poisoned_pen_03_f000147.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/emerald_city_of_oz_06_f000007.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/wives_and_daughters_09_f000110.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/poisoned_pen_08_f000222.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/jane_eyre_33_f000102.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/midnight_passenger_14_f000207.wav,parler_tts_large_v1,1
./fake/en/parler_tts_mini_v1/wives_and_daughters_59_f000150.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/wives_and_daughters_29_f000015.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_mini_v1/silent_bullet_10_f000292.wav,parler_tts_mini_v1,0
./fake/en/parler_tts_large_v1/pink_fairy_book_10_f000138.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/jane_eyre_37_f000022.wav,parler_tts_large_v1,1
./fake/en/parler_tts_large_v1/silent_bullet_10_f000080.wav,parler_tts_large_v1,1
