path,model_name,label
./fake/en/suno_bark-small/the_master_key_08_f000050.wav,suno/bark-small,0
./fake/en/suno_bark/the_sea_fairies_15_f000057.wav,suno/bark,1
./fake/en/suno_bark-small/wives_and_daughters_34_f000166.wav,suno/bark-small,0
./fake/en/suno_bark-small/jane_eyre_03_f000082.wav,suno/bark-small,0
./fake/en/suno_bark-small/midnight_passenger_15_f000054.wav,suno/bark-small,0
./fake/en/suno_bark-small/emerald_city_of_oz_05_f000089.wav,suno/bark-small,0
./fake/en/suno_bark-small/northandsouth_41_f000169.wav,suno/bark-small,0
./fake/en/suno_bark-small/rinkitink_baum_18_64kb_f000044.wav,suno/bark-small,0
./fake/en/suno_bark-small/jane_eyre_26_f000035.wav,suno/bark-small,0
./fake/en/suno_bark-small/midnight_passenger_09_f000120.wav,suno/bark-small,0
./fake/en/suno_bark/wives_and_daughters_04_f000195.wav,suno/bark,1
./fake/en/suno_bark-small/the_master_key_06_f000099.wav,suno/bark-small,0
./fake/en/suno_bark-small/northandsouth_12_f000036.wav,suno/bark-small,0
./fake/en/suno_bark-small/midnight_passenger_05_f000119.wav,suno/bark-small,0
./fake/en/suno_bark/wives_and_daughters_10_f000098.wav,suno/bark,1
./fake/en/suno_bark-small/northandsouth_04_f000126.wav,suno/bark-small,0
./fake/en/suno_bark/jane_eyre_17_f000333.wav,suno/bark,1
./fake/en/suno_bark/the_master_key_04_f000089.wav,suno/bark,1
./fake/en/suno_bark/wives_and_daughters_50_f000193.wav,suno/bark,1
./fake/en/suno_bark/wives_and_daughters_23_f000087.wav,suno/bark,1
./fake/en/suno_bark-small/dorothy_and_wizard_oz_01_f000088.wav,suno/bark-small,0
./fake/en/suno_bark/poisoned_pen_09_f000210.wav,suno/bark,1
./fake/en/suno_bark/silent_bullet_12_f000208.wav,suno/bark,1
./fake/en/suno_bark-small/midnight_passenger_10_f000112.wav,suno/bark-small,0
./fake/en/suno_bark/wives_and_daughters_54_f000026.wav,suno/bark,1
./fake/en/suno_bark-small/dorothy_and_wizard_oz_03_f000021.wav,suno/bark-small,0
./fake/en/suno_bark-small/poisoned_pen_02_f000290.wav,suno/bark-small,0
./fake/en/suno_bark/midnight_passenger_11_f000063.wav,suno/bark,1
./fake/en/suno_bark/jane_eyre_21_f000025.wav,suno/bark,1
./fake/en/suno_bark-small/midnight_passenger_04_f000196.wav,suno/bark-small,0
./fake/en/suno_bark-small/pink_fairy_book_38_f000035.wav,suno/bark-small,0
./fake/en/suno_bark/piratesofersatz_10_leinster_64kb_f000106.wav,suno/bark,1
./fake/en/suno_bark/emerald_city_of_oz_08_f000025.wav,suno/bark,1
./fake/en/suno_bark/wives_and_daughters_09_f000107.wav,suno/bark,1
./fake/en/suno_bark-small/rinkitink_baum_05_64kb_f000054.wav,suno/bark-small,0
